image_urls,images,name
https://media2.bollywoodhungama.in/wp-content/uploads/2016/02/Charming-Amitabh-Bachchan-full-hd-wallpaper-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/02/Charming-Amitabh-Bachchan-full-hd-wallpaper-322x215.jpg', 'path': 'full/ae0c33b138223f8937b1a7813744dd3f793a0c6d.jpg', 'checksum': '6f8f5198398859620af86464db88c727'}]",Amitabh Bachchan
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/60462000.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/60462000.jpg', 'path': 'full/dfb4b91caac78f94052f0caa8db81a4929476db7.jpg', 'checksum': '9f829e2087606a9f9f941d6354a196d8'}]",Preity Zinta
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Arjun-Rampal-Wallpaper-8-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Arjun-Rampal-Wallpaper-8-322x215.jpg', 'path': 'full/2078e1a8553d8e6d4814679e76d78e74c45227b1.jpg', 'checksum': '4bac1eac98ac08fa80c9e9874e9640b2'}]",Arjun Rampal
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Sidharth-Malhotra-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Sidharth-Malhotra-322x215.jpg', 'path': 'full/df804e0b388aaa88a8ecaad167e9114b83c90839.jpg', 'checksum': '60edbabfccfecb7b2541b03f422176ff'}]",Sidharth Malhotra
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/KARTIK-AARYAN-3-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/KARTIK-AARYAN-3-322x215.jpg', 'path': 'full/e3f935c2fd4f6e362fc7e67dd03f50559a33d094.jpg', 'checksum': '48d9b0522d16a732003c1974c729cd30'}]",Kartik Aaryan
https://stat1.bollywoodhungama.in/wp-content/uploads/2017/02/Nana-Patekar-with-Lifetime-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2017/02/Nana-Patekar-with-Lifetime-322x215.jpg', 'path': 'full/1e065784509d68d1a8babc2bb403dfa41632a578.jpg', 'checksum': '7983db7697f6c2fae4ca6ca030a1e039'}]",Nana Patekar
https://media2.bollywoodhungama.in/wp-content/uploads/2016/02/john-abraham-48a-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/02/john-abraham-48a-322x215.jpg', 'path': 'full/dd1644aad7bb1982775ea59caa54609f67b74dc1.jpg', 'checksum': '99a77ca94028336ee7cff0d6bc1e274a'}]",John Abraham
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Asin-001-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Asin-001-322x215.jpg', 'path': 'full/a7976302b69a3a0a8316d845de5274191893cfd7.jpg', 'checksum': '970cfa13862171b822255e9f011fab12'}]",Asin
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/sunil-shetty-011-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/sunil-shetty-011-322x215.jpg', 'path': 'full/7395aacf2356a1a7ca09dd910255ac28f4d6fb62.jpg', 'checksum': 'd119937b33ddbc00c08b50bae421f6f2'}]",Suniel Shetty
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/sushant-singh-rajput-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/sushant-singh-rajput-322x215.jpg', 'path': 'full/3f6f49e33d1fc47407efa23fa3730999b133fd50.jpg', 'checksum': '6fd72b9a918ac1309d9cb310d42835c7'}]",Sushant Singh Rajput
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Kiara-Advani-Header-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Kiara-Advani-Header-322x215.jpg', 'path': 'full/360c8a09bee3fa60cf0ec89be47e0f3f751f99e5.jpg', 'checksum': 'f7ac1cc7bd37adf6bd57b101100a4c41'}]",Kiara Advani
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Vicky-Kaushal-1-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Vicky-Kaushal-1-322x215.jpg', 'path': 'full/b6d4021be976121025ab806057cfaaf7d28e40b9.jpg', 'checksum': '23684ffb9ec6b08f3f513e75bf641d59'}]",Vicky Kaushal
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Parineeti-Chopra-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Parineeti-Chopra-322x215.jpg', 'path': 'full/b72e41545a2897402caef7a05f0273aeb16810e3.jpg', 'checksum': 'fb21cc98d86fc52b0869daf2a379a699'}]",Parineeti Chopra
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/AkshayeKhanna-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/AkshayeKhanna-322x215.jpg', 'path': 'full/d5472aef77752f798e7f7e07240592c7a7f24879.jpg', 'checksum': 'ea79e65eb75bcab071cf15439c1b5cbf'}]",Akshaye Khanna
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/American-Swan-20th-February-2015188945-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/American-Swan-20th-February-2015188945-322x215.jpg', 'path': 'full/9fa5752a0f7fe432b4d1bb5ce71ea97627867bac.jpg', 'checksum': 'a404bb9e8668f9b65dac504498afd454'}]",Kriti Sanon
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/426641323-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/426641323-322x215.jpg', 'path': 'full/90709478ceaf3ea0dd79919d3e60ffa1c14338f8.jpg', 'checksum': 'c8d5f373141b9d184cac21fe20c1acb3'}]",Uday Chopra
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Tusshar_Kapoor-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Tusshar_Kapoor-322x215.jpg', 'path': 'full/b574dadf2941342311c4a21c75b205768895fa9e.jpg', 'checksum': '8b0a349d488076dd37d214787bb94305'}]",Tusshar Kapoor
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/photo-8-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/photo-8-322x215.jpg', 'path': 'full/606edb1d189431405c50ad7e2b2d392ae9ab7800.jpg', 'checksum': '865e626476607bf4f331d4c0f107eb62'}]",Esha Gupta
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Bollywood-Actress-Karishma--322x215.png,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Bollywood-Actress-Karishma--322x215.png', 'path': 'full/5fb54a1d9dc7457efdcceea6b7570fcbc126e97c.jpg', 'checksum': '1216f048baa2b203480cb5faef0fd1c1'}]",Karisma Kapoor
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/gq-anil-kapoor-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/gq-anil-kapoor-322x215.jpg', 'path': 'full/80dc06b7cf5988a32cf87069cafd08469d2d7820.jpg', 'checksum': '3e5f57573ef7960cdd23e4417388a864'}]",Anil Kapoor
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Manoj-Bajpayee-3-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Manoj-Bajpayee-3-322x215.jpg', 'path': 'full/26d0c074334a26acbb149c2917fd22607347bbae.jpg', 'checksum': '1577b5d2e0cf9b3ac060c92d90fb0fc1'}]",Manoj Bajpayee
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/shruti-haasan-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/shruti-haasan-322x215.jpg', 'path': 'full/ff199e47e8b151edca293f0c87761e8ffe32da29.jpg', 'checksum': 'c76dcd88099b11135a0579b674f0623a'}]",Shruti Haasan
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Nushrat-24-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Nushrat-24-322x215.jpg', 'path': 'full/6a48ef0b122f2bd5aaf28bbbaa877e0e28a9810f.jpg', 'checksum': '05d1410e7c51ef8e63bb118a0579d8f8'}]",Nushrat Bharucha
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/govinda1174951-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/govinda1174951-322x215.jpg', 'path': 'full/ea787b6ba58e3ec16a9df204694662949163a5ec.jpg', 'checksum': 'ea56d0aa05567253607a77e372801cb1'}]",Govinda
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Imran-Khan-In-Blue-Suit-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/Imran-Khan-In-Blue-Suit-322x215.jpg', 'path': 'full/77da6d49ea4646dc6a105a68d7bec7a6a693d0a6.jpg', 'checksum': 'e2ef7856cee85c1f8aac0b8371ce9394'}]",Imran Khan
https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Manisha-Koirala-322x215.jpg,"[{'url': 'https://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Manisha-Koirala-322x215.jpg', 'path': 'full/57c8780a1d62efd971eda3b6c64868d724e91456.jpg', 'checksum': '7c0a853bd3026d3a11f2d3e2778b03f9'}]",Manisha Koirala
https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/2292899099-322x215.jpg,"[{'url': 'https://media2.bollywoodhungama.in/wp-content/uploads/2016/03/2292899099-322x215.jpg', 'path': 'full/586a29be91ba37ea44ec9e3b85176cb6228849a8.jpg', 'checksum': 'ab103ca49dcf2bd17481bfbb265b9774'}]",Shreyas Talpade
https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/91959188-322x215.jpg,"[{'url': 'https://stat1.bollywoodhungama.in/wp-content/uploads/2016/03/91959188-322x215.jpg', 'path': 'full/daf2acce329e6c374c5ee3534268d79cc82b6129.jpg', 'checksum': '271491635cb83670882fe2605db8ec18'}]",Nargis Fakhri
